text,response,task_type,task_name,sentiment
I love hiking.,Hiking is a great way to get some exercise.,old,general,['positive']
"We went to the beach last weekend, and I had a great time.",That sounds like a lot of fun. I'm glad you had a good time.,old,general,['positive']
"I sold a bunch of stuff at my garage sale last weekend, which was nice to get done.",That's great! I'm so happy for you!,old,general,['positive']
It's beautiful weather today.,"Yes, it's lovely weather.",old,general,['positive']
"I just started a workout routine, and it's going well.",Good for you! How is it going?,old,general,['positive']
It's really fun going to the dog park.,We should go together some time!,old,general,['positive']
"My friend is helping me learn Spanish, and I'm learning a lot.",That's really cool! How are you finding it?,old,general,['positive']
"I got a really cheap airplane ticket for my vacation, which was helpful to save money.",That's great! I'm sure you'll have a wonderful time.,old,general,['positive']
The weather was great last weekend.,"Yes, it was! What did you do last weekend?",old,general,['positive']
My daughter typically wakes up at 7:00am for school.,"Oh that sounds early, does she have time to eat breakfast?",old,general,['neutral']
"I just joined a volunteer group, and am really enjoying it.",Why did you join a volunteer group?,old,general,['positive']
I love working in my garden.,Gardening is a great hobby!,old,general,['positive']
"Tomorrow is supposed to be warm, which I am excited about",What's the temperature supposed to be?,old,general,['positive']
"I take a run every morning, and it's been great for my health",Good for you! Where do you run?,old,general,['positive']
I have been receiving too many paper catalogs recently and I hate having to throw them out.,Oh yes it must be hard having to deal with all of that paper,old,general,['negative']
The homework for my class is due next week.,"Oh ok, it would be a good idea to get started early",old,general,['neutral']
The beach is closer to my house than the lake,Do you get to visit the beach often?,old,general,['neutral']
"I usually go out on Friday nights, but this week I'm staying home to get some more rest, which will be great for a change.",That's sounds like a good plan.,old,general,['positive']
"I've been listening to books on tape, which has been really enjoyable.",What books have you been listening to?,old,general,['positive']
There are some new shows on TV that I have been enjoying.,That's great! I'd love to watch some with you.,old,general,['positive']
"I talked with my professor about the class, and she was very helpful.",Good for you! I'm glad it went well.,old,general,['positive']
My current job is too stressful.,I'm sorry to hear your current job is difficult. Are you looking for a new one?,old,general,['negative']
"I applied for a few jobs, and am feeling hopeful","That's great, I hope you get one of them!",old,general,['positive']
My brother and I got in an argument last night.,"I'm sorry to hear that, what happened?",old,general,['negative']
I had an upset stomach last night.,I'm sorry to hear that. I hope you're feeling better now.,old,general,['negative']
I was so sick over the weekend.,That sounds terrible. I hope you're feeling better now.,old,general,['negative']
My boyfriend lost his job last week.,I'm sorry to hear that. I hope he's doing okay.,old,general,['negative']
My cat ate something and was so sick last night.,"Oh no, what did your cat eat?",old,general,['negative']
I had to take my daughter to the emergency room last week.,I'm so sorry to hear that. Is she doing better?,old,general,['negative']
